ecoid	ecoregion	country1	country2	regionid	region	pixels	hits
30130	"Western Guinean lowland forests"	"C(te d'Ivoire"	"Guinea"	13	"Coastal West Africa"	668606	1390
40101	"Andaman Islands rain forests"	"India"	"India"	32	"Southern Asia and Myanmar"	17364	51
40102	"Borneo lowland rain forests"	"Indonesia"	"Indonesia"	5	"Borneo lowland rain forests"	1438006	25562
40103	"Borneo montane rain forests"	"Indonesia"	"Malaysia"	27	"Other Indonesia"	505844	659
40104	"Borneo peat swamp forests"	"Malaysia"	"Indonesia"	6	"Borneo peat swamp forests"	192510	7599
40105	"Brahmaputra Valley semi-evergreen forests"	"India"	"India"	32	"Southern Asia and Myanmar"	47684	390
40106	"Cardamom Mountains rain forests"	"Cambodia"	"Cambodia"	10	"Cardamom Mountains rain forests"	129874	7736
40107	"Chao Phraya freshwater swamp forests"	"Thailand"	"Thailand"	41	"West SE Asia"	9214	94
40108	"Chao Phraya lowland moist deciduous forests"	"Thailand"	"Thailand"	41	"West SE Asia"	13964	312
40109	"Chin Hills-Arakan Yoma montane forests"	"Myanmar"	"Myanmar"	32	"Southern Asia and Myanmar"	128406	801
40111	"Eastern highlands moist deciduous forests"	"India"	"India"	32	"Southern Asia and Myanmar"	378472	776
40112	"Eastern Java-Bali montane rain forests"	"Indonesia"	"Indonesia"	27	"Other Indonesia"	45056	83
40113	"Eastern Java-Bali rain forests"	"Indonesia"	"Indonesia"	27	"Other Indonesia"	47813	333
40114	"Greater Negros-Panay rain forests"	"Philippines"	"Philippines"	15	"East SE Asia"	23907	83
40115	"Himalayan subtropical broadleaf forests"	"Nepal"	"Nepal"	32	"Southern Asia and Myanmar"	77942	33
40116	"Irrawaddy freshwater swamp forests"	"Myanmar"	"Myanmar"	32	"Southern Asia and Myanmar"	2938	2
40117	"Irrawaddy moist deciduous forests"	"Myanmar"	"Myanmar"	32	"Southern Asia and Myanmar"	230497	1963
40118	"Jian Nan subtropical evergreen forests"	"China"	"China"	16	"Jian Nan subtropical evergreen forests"	1787222	4871
40119	"Kayah-Karen montane rain forests"	"Myanmar"	"Myanmar"	17	"Kayah-Karen montane rain forests"	448146	5686
40120	"Lower Gangetic Plains moist deciduous forests"	"India"	"India"	32	"Southern Asia and Myanmar"	75546	274
40121	"Luang Prabang montane rain forests"	"Laos"	"Laos"	41	"West SE Asia"	252878	3768
40122	"Luzon montane rain forests"	"Philippines"	"Philippines"	15	"East SE Asia"	30294	13
40123	"Luzon rain forests"	"Philippines"	"Philippines"	15	"East SE Asia"	155240	527
40124	"Malabar Coast moist forests"	"India"	"India"	32	"Southern Asia and Myanmar"	60525	20
40125	"Maldives-Lakshadweep-Chagos Archipelago tropical moist forests"	"Philippines"	"Philippines"	32	"Southern Asia and Myanmar"	589	0
40126	"Meghalaya subtropical forests"	"India"	"India"	32	"Southern Asia and Myanmar"	127338	206
40127	"Mentawai Islands rain forests"	"Indonesia"	"Indonesia"	27	"Other Indonesia"	20185	17
40128	"Mindanao montane rain forests"	"Philippines"	"Philippines"	15	"East SE Asia"	54659	38
40129	"Mindanao-Eastern Visayas rain forests"	"Philippines"	"Philippines"	15	"East SE Asia"	181938	404
40130	"Mindoro rain forests"	"Philippines"	"Philippines"	15	"East SE Asia"	19432	71
40131	"Mizoram-Manipur-Kachin rain forests"	"Myanmar"	"India"	41	"West SE Asia"	540900	2968
40132	"Myanmar coastal rain forests"	"Myanmar"	"Myanmar"	32	"Southern Asia and Myanmar"	135824	1561
40133	"Nicobar Islands rain forests"	"India"	"India"	32	"Southern Asia and Myanmar"	1784	8
40134	"North Western Ghats moist deciduous forests"	"India"	"India"	32	"Southern Asia and Myanmar"	38564	28
40135	"North Western Ghats montane rain forests"	"India"	"India"	32	"Southern Asia and Myanmar"	74936	42
40136	"Northern Annamites rain forests"	"Laos"	"Vietnam"	41	"West SE Asia"	181309	1026
40137	"Northern Indochina subtropical forests"	"China"	"Myanmar"	24	"Northern Indochina subtropical forests"	1397593	7877
40138	"Northern Khorat Plateau moist deciduous forests"	"Thailand"	"Thailand"	41	"West SE Asia"	16532	1313
40139	"Northern Thailand-Laos moist deciduous forests"	"Thailand"	"Laos"	41	"West SE Asia"	125442	1144
40140	"Northern Triangle subtropical forests"	"Myanmar"	"Myanmar"	41	"West SE Asia"	236167	195
40141	"Northern Vietnam lowland rain forests"	"Vietnam"	"Vietnam"	15	"East SE Asia"	23533	228
40142	"Orissa semi-evergreen forests"	"India"	"India"	32	"Southern Asia and Myanmar"	5976	6
40143	"Palawan rain forests"	"Philippines"	"Philippines"	15	"East SE Asia"	30477	99
40144	"Peninsular Malaysian montane rain forests"	"Malaysia"	"Malaysia"	15	"East SE Asia"	76779	101
40145	"Peninsular Malaysian peat swamp forests"	"Malaysia"	"Malaysia"	15	"East SE Asia"	12437	1335
40146	"Peninsular Malaysian rain forests"	"Malaysia"	"Malaysia"	28	"Peninsular Malaysian rain forests"	374886	25488
40147	"Red River freshwater swamp forests"	"Vietnam"	"Vietnam"	15	"East SE Asia"	734	3
